Ecosystem/Croptype,Geolocation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Island
Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),400415,428949,453461,460170,452609,400911,382848,445006,391104.6,418320.58,376473.48,377133.35,338067.44,Luzon
Palay,REGION I (ILOCOS REGION),1558373,1602814,1737695,1750057,1796229,1777121,1805126,1872052,1720043.52,1851265.37,1902661.85,1902342.6,1965372.37,Luzon
Palay,REGION II (CAGAYAN VALLEY),1745722,2144766,2425536.47,2423200.33,2514934.17,2489647.28,2332654.04,2656978.51,2379771.42,2644702.34,2645776.78,2909950.48,2928165.7,Luzon
Palay,REGION III (CENTRAL LUZON),2958415,2616083,3220607,3409468,3765150,3304310,3342883.12,3634807,3615115.12,3730180.33,3635147.59,3741210.53,3616712.39,Luzon
Palay,REGION IV-A (CALABARZON),390189,399193,389272,411785,405582,392907,407124,410833,420233.47,380781.96,386919.93,409915.07,395898.69,Luzon
Palay,MIMAROPA REGION,857532,981669,1030606,1033942,1081878,1081833,1080408,1159830,1230988.37,1195197,1183149.32,1225283.21,1231812.68,Luzon
Palay,REGION V (BICOL REGION),1081078,1070917,1173307,1243241.4,1258147,1264448,1275492,1335077,1350438.32,1192903.96,1294991.12,1346952.44,1329004.41,Luzon
Palay,REGION VI (WESTERN VISAYAS),1789693,2245038,2292201,2090790,2052574,2056824,1896230,2230836.72,2232292.75,2077790.03,2295579.75,2356902.44,2321593.72,Visayas
Palay,REGION VII (CENTRAL VISAYAS),270449,322862,327120,347697,338822,336194,231982,325209,309459,223086.5,260523.78,289502,242394.57,Visayas
Palay,REGION VIII (EASTERN VISAYAS),964145,984017,994972,989794,982596,955709,954844.36,945565,946876.96,900245.55,927095.25,864373.13,840344.65,Visayas
Palay,REGION IX (ZAMBOANGA PENINSULA),552645,622203,618831,639113,656777,661775,581110.9,700590,728673.43,677436.78,645407.04,667354.85,651696.53,Mindanao
Palay,REGION X (NORTHERN MINDANAO),586442,610990,637348,674903,713764,725120,711284,745733.4,761400.32,761138.59,781824.98,793640.31,814738.57,Mindanao
Palay,REGION XI (DAVAO REGION),402811,416543,448703,421692,452267,441868,417948,433665,488104.68,450368.6,466763.69,484724.58,490254.05,Mindanao
Palay,REGION XII (SOCCSKSARGEN),1185196,1244148,1270901,1347646,1364849,1291644,1200642,1319505,1343124.7,1187279.31,1264116.7,1278188.1,1244277.89,Mindanao
Palay,REGION XIII (CARAGA),405871,416997,469205,583838,574499,481311.5,462182,482675,510070.72,449369.83,503330.88,467743.5,520181.03,Mindanao
Palay,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),623343,576873,542760,612083,557149,488215,544486.4,577984,638396.56,674760.55,725093.37,844953.6,825877.57,Mindanao
Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),172195,218788,225135,242074,244576,237823,199355,242850,207439.2,232350.58,244550.47,216066.47,190790.85,Luzon
Corn,REGION I (ILOCOS REGION),358445,387882,434720,447503,476740.79,490943,508024,556462,560885,574852,563388,571259.15,585755.64,Luzon
Corn,REGION II (CAGAYAN VALLEY),1263614,1601687,1875622.97,1713891.3,1856714.99,1801194.1,1678812.77,1837480.34,1625325.36,1866918.34,1861855.63,1891169.7,1960108.42,Luzon
Corn,REGION III (CENTRAL LUZON),197890,188494,210574,227765,240870,271319,259546.28,258746,271944.5,284714.54,274274.82,309854.02,306020.96,Luzon
Corn,REGION IV-A (CALABARZON),60209,57557,58657,75165,74328.96,64823,96821,92762.15,91418.06,69786.67,75761.11,67145.22,60852.44,Luzon
Corn,MIMAROPA REGION,67712,84173,87223.2,104678,107723,125492,114604,121098,130146.41,106939.8,121201.15,115297.47,126950.22,Luzon
Corn,REGION V (BICOL REGION),174479,215025,230545,258115,285647,243908,259375,287005,279731.94,248242.62,282000.57,292748.28,288419.72,Luzon
Corn,REGION VI (WESTERN VISAYAS),247997,309915,330782,345527,368404,350391,283671.45,301286,310838.81,313974.95,320379.86,351433.67,344460.64,Visayas
Corn,REGION VII (CENTRAL VISAYAS),178413,177297,172138,173225,164197,150051,156729,146470,127602,105584.25,127595.33,107314,97156.37,Visayas
Corn,REGION VIII (EASTERN VISAYAS),90215,83992,87333.18,89327,88162,91145,81603,73481,74197.26,74220.4,73122.83,63208.57,58861.19,Visayas
Corn,REGION IX (ZAMBOANGA PENINSULA),195349,200091,211331,207787,223342,220180,258951.24,234455,258909.87,184636.71,168854.81,195571.69,180632.76,Mindanao
Corn,REGION X (NORTHERN MINDANAO),1153239,1212208,1228754,1185036,1196542,1216301.62,1223116.09,1287303,1289538,1312925.8,1338165.21,1455030.45,1477201.89,Mindanao
Corn,REGION XI (DAVAO REGION),202354,191213,198627,227013,280293,224100,219089,256735,274674.71,244810.36,261923.15,266894.04,274388.76,Mindanao
Corn,REGION XII (SOCCSKSARGEN),1064448,1170554,1201331,1305607,1338065,1239275,1144010,1257177,1231074,1108187.29,1108972.45,1105238.85,1052210.51,Mindanao
Corn,REGION XIII (CARAGA),94571,75684,89521,107476,125406,118774,144528.86,119980,135626.55,135727.21,157639.11,141648.84,109511.71,Mindanao
Corn,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),855666,796661,764774,667104,699591,673036,590579.86,841618,902566.96,1114973.03,1138861.4,1137310.72,1142287.62,Mindanao
